ORGIN_AIPORT_ID,Description,Code.y
10377,"Yamoussoukro, Cote d'Ivoire: Yamoussoukro Airport",ASK
10378,"Marshall, TX: Harrison County",ASL
10379,"Asmara, Eritrea: Asmara International",ASM
10380,"Talladega, AL: Talladega Municipal",ASN
10381,"Asosa, Ethiopia: Asosa Hidase",ASO
10382,"Alice Springs, Australia: Alice Springs Airport",ASP
10383,"Austin, NV: Austin Airport",ASQ
10384,"Kayseri, Turkey: Kayseri Airport",ASR
10385,"Astoria/Seaside, OR: Astoria Regional",AST
10386,"Asuncion, Paraguay: Silvio Pettirossi International",ASU
10387,"Aswan, Egypt: Aswan International",ASW
10388,"Ashland, WI: John F Kennedy Memorial",ASX
10389,"Ashley, ND: Ashley Municipal",ASY
10390,"Anta, Peru: Anta Huaraz",ATA
10391,"Atbara, Sudan: Atbara Airport",ATB
10392,"Arthur's Town, The Bahamas: Arthur's Town Airport",ATC
10393,"Antlers, OK: Antlers Municipal",ATE
10394,"Athens, Greece: Eleftherios Venizelos International",ATH
10395,"Artigas, Uruguay: Artigas International",ATI
10396,"Atqasuk, AK: Atqasuk Edward Burnell Sr. Memorial",ATK
10397,"Atlanta, GA: Hartsfield-Jackson Atlanta International",ATL
10398,"Altamira, Brazil: Altamira Airport",ATM
10399,"Namatanai, Papua New Guinea: Namatanai Airport",ATN
10400,"Athens, OH: Ohio University",ATO
10401,"Aitape, Papua New Guinea: Aitape Airport",ATP
10402,"Amritsar, India: Amritsar International",ATQ
10403,"Atar, Mauritania: Atar Airport",ATR
10404,"Artesia, NM: Artesia Municipal",ATS
10405,"Atmautluak, AK: Atmautluak Airport",ATT
10406,"Attu, AK: Casco Cove CGS",ATU
10407,"Ati, Chad: Ati Airport",ATV
10408,"Appleton, WI: Appleton International",ATW
10409,"Watertown, SD: Watertown Regional",ATY
10410,"Assiut, Egypt: Assiut Airport",ATZ
10411,"Aruba, Aruba: Reina Beatrix International",AUA
10412,"Arauca, Colombia: Santiago Perez",AUC
10413,"Augustus Downs, Australia: Augustus Downs Airport",AUD
10414,"Augusta/Waterville, ME: Augusta State",AUG
10415,"Abu Dhabi, United Arab Emirates: Abu Dhabi International",AUH
10416,"Alakanuk, AK: Alakanuk Airport",AUK
10417,"Austin/Albert Lea, MN: Austin Municipal",AUM
10418,"Auburn, CA: Auburn Municipal",AUN
10419,"Auburn, AL: Auburn University Regional",AUO
10420,"Aguan, Papua New Guinea: Aguan Papua N.G.",AUP
10421,"Atuona, French Polynesia: Hiva Oa/Atuona",AUQ
10422,"Aurillac, France: Aurillac Airport",AUR
10423,"Austin, TX: Austin - Bergstrom International",AUS
10423,"Austin, TX: Austin - Bergstrom International",BSM
10424,"Wausau, WI: Wausau Downtown",AUW
10425,"Araguaina, Brazil: Araguaina Airport",AUX
10426,"Aneityum, Vanuatu: Aneityum Airport",AUY
10427,"Aurora, IL: Aurora Municipal",AUZ
10428,"Aviano, Italy: Aviano AB",AVB
10430,"Ciego de Avila, Cuba: Maximo Gomez",AVI
10431,"Asheville, NC: Asheville Regional",AVL
10432,"Avignon, France: Avignon Caumont",AVN
10433,"Avon Park, FL: Avon Park Executive",AVO
10434,"Scranton/Wilkes-Barre, PA: Wilkes Barre Scranton International",AVP
10435,"Avalon, Australia: Avalon Airport",AVV
10436,"Tucson, AZ: Marana Regional",AVW
10437,"Avalon, CA: Catalina",AVX
10437,"Avalon, CA: Catalina",CIB
10438,"Awasa, Ethiopia: Lake Awasa",AWA
10439,"Wake Island, TT: Wake Island Airfield",AWK
10440,"West Memphis, AR: West Memphis Municipal",AWM
10441,"Awar, Papua New Guinea: Awar Airport",AWR
10442,"Andrews, TX: Andrews County",AWX
10443,"Ahwaz, Iran: Ahwaz Airport",AWZ
10444,"The Valley, Anguilla: Clayton J Lloyd",AXA
10445,"Alexandria Bay, NY: Maxson Airfield",AXB
10446,"Aramac, Australia: Aramac Airport",AXC
10447,"Alexandroupolis, Greece: Dimokritos",AXD
10448,"Armenia, Colombia: El Eden",AXM
10449,"Alexandria, MN: Chandler Field",AXN
10450,"Spring Point, The Bahamas: Spring Point Airport",AXP
10451,"Altus, OK: Altus/Quartz Mountain Regional",AXS
10452,"Akita, Japan: Akita Airport",AXT
10453,"Axum, Ethiopia: Axum Atse Yohannes IV",AXU
10454,"Wapakoneta, OH: Neil Armstrong",AXV
10455,"Eagle Nest, NM: Angel Fire",AXX
10456,"Anthony Lagoon, Australia: Anthony Lagoon Airport",AYL
10457,"Ayacucho, Peru: Coronel FAP Alfredo Mendivil Duarte",AYP
10458,"Ayers Rock, Australia: Ayers Rock Connellan",AYQ
10459,"Ayr, Australia: Ayr Airport",AYR
10460,"Waycross, GA: Waycross-Ware County",AYS
10461,"Antalya, Turkey: Antalya Airport",AYT
10462,"Ayawasi, Indonesia: Ayawasi Airport",AYW
10463,"Grand Canyon, AZ: Valle",AZ1
10464,"Williams, AZ: H. A. Clark Memorial Field",AZ2
10465,"Glendale, AZ: Glendale Municipal",AZ3
10466,"Phoenix, AZ: Phoenix - Mesa Gateway",AZA
10467,"Yazd, Iran: Shahid Sadooghi International",AZD
10468,"Apatzingan, Mexico: Pablo L. Sidar",AZG
10469,"Kalamazoo, MI: Kalamazoo/Battle Creek International",AZO
10470,"Samana, Dominican Republic: El Catey International",AZS
10471,"Biddeford, ME: Biddeford Municipal",B19
