2023 Passenger Rank,Airport Code,Airport Name,City Name,State Name,Average Fare ($),Inflation Adjusted Average Fare ($) (Base Year: 2024),2023 Passengers (10% sample)
377,AUG,Augusta State,Augusta/Waterville,ME,349.48,427.94,168
377,TEX,Telluride Regional,Telluride,CO,768.6,941.17,168
379,BHB,Hancock County-Bar Harbor,Bar Harbor,ME,427.2,523.11,161
379,PKB,Mid-Ohio Valley Regional,Parkersburg,WV,593,726.14,161
381,CEZ,Cortez Municipal,Cortez,CO,456.28,558.72,143
382,UIN,Quincy Regional-Baldwin Field,Quincy,IL,378.85,463.9,140
383,RKD,Knox County Regional,Rockland,ME,450.54,551.69,137
384,DUJ,DuBois Regional,DuBois,PA,478.44,585.85,134
385,MGW,Morgantown Municipal Walter L Bill Hart Field,Morgantown,WV,427.76,523.8,123
386,RUT,Rutland - Southern Vermont Regional,Rutland,VT,381.32,466.93,120
386,ENA,Kenai Municipal,Kenai,AK,620.68,760.03,120
386,TUP,Tupelo Regional,Tupelo,MS,427.33,523.28,120
389,LNS,Lancaster Airport,Lancaster,PA,388.25,475.42,118
390,PVC,Provincetown Municipal,Provincetown,MA,470.86,576.58,116
391,PGA,Page Municipal,Page,AZ,404,494.7,109
392,AIA,Alliance Municipal,Alliance,NE,559.16,684.7,99
393,AOO,Altoona-Blair County,Altoona,PA,479.43,587.06,94
394,IRK,Kirksville Regional,Kirksville,MO,411.78,504.24,92
395,TVF,Thief River Falls Regional,Thief River Falls,MN,425,520.42,90
395,SDY,Sidney Richland Regional,Sidney,MT,512.93,628.09,90
397,HOM,Homer Airport,Homer,AK,599.55,734.16,89
398,MSL,Northwest Alabama Regional,Muscle Shoals,AL,355.26,435.02,87
399,GLH,Greenville Mid Delta,Greenville,MS,442,541.24,84
400,BFD,Bradford Regional,Bradford,PA,469.04,574.35,76
401,BKG,Branson Airport,Branson,MO,108.52,132.89,65
402,SLK,Adirondack Regional,Saranac Lake/Lake Placid,NY,399.51,489.2,64
403,MCK,McCook Ben Nelson Regional,McCook,NE,515.91,631.74,62
404,VQS,Antonio Rivera Rodriguez,Vieques,PR,506.02,619.63,59
405,CDR,Chadron Municipal,Chadron,NE,412.22,504.77,57
406,ADK,Adak,Adak Island,AK,1004.04,1229.46,56
407,SOW,Show Low Regional,Show Low,AZ,457.89,560.7,54
408,MSS,Massena International-Richards Field,Massena,NY,562.23,688.46,53
409,MAZ,Eugenio Maria de Hostos,Mayaguez,PR,385.71,472.31,52
410,ELD,South Arkansas Regional at Goodwin Field,El Dorado,AR,489,598.79,44
410,HRO,Boone County,Harrison,AR,278,340.41,44
412,CNM,Cavern City Air Terminal,Carlsbad,NM,555.8,680.58,36
413,HOT,Memorial Field,Hot Springs,AR,532,651.44,34
413,MKK,Molokai,Hoolehua,HI,214.8,263.02,34
415,VDZ,Valdez Pioneer Field,Valdez,AK,631.42,773.19,27
416,HVR,Havre City-County,Havre,MT,534,653.89,24
417,OLF,L. M. Clayton,Wolf Point,MT,692.25,847.67,21
418,GDV,Dawson Community,Glendive,MT,516.15,632.04,20
419,PDT,Eastern Oregon Regional at Pendleton,Pendleton,OR,482.46,590.78,17
420,GGW,Wokal Field Glasgow Valley County,Glasgow,MT,732.71,897.22,13
421,CPX,Benjamin Rivera Noriega,Culebra,PR,383.56,469.68,12
422,CDB,Cold Bay Airport,Cold Bay,AK,893.49,1094.09,10
423,LNY,Lanai Airport,Lanai,HI,366.77,449.12,5
424,JHM,Kapalua Airport,Kapalua,HI,305.07,373.56,4
425,SDP,Sand Point,Sandpoint,AK,943.42,1155.23,3
426,SHH,Shishmaref Airport,Shishmaref,AK,712,871.85, -   
426,OGD,Ogden-Hinckley,Ogden,UT,113.1,138.49, -   
426,ISN,Sloulin Field International,Williston,ND,643.92,788.49, -   
426,WMO,White Mountain Airport,White Mountain,AK,335,410.21, -   
426,MMH,Mammoth Lakes Airport,Mammoth Lakes,CA,277.91,340.3, -   
426,IPT,Williamsport Regional,Williamsport,PA,449.81,550.8, -   
426,PQS,Pilot Station Airport,Pilot Station,AK,285,348.99, -   
426,GAL,Edward G. Pitka Sr.,Galena,AK,681,833.89, -   
426,SSB,Christiansted Harbor Seaplane Base,Christiansted,VI,813.5,996.14, -   
426,MCE,Merced Yosemite Regional,Merced,CA,590.86,723.51, -   
426,CYF,Chefornak Airport,Chefornak,AK,742,908.59, -   
426,FKL,Venango Regional,Franklin/Oil City,PA,383.4,469.48, -   
426,HNM,Hana Airport,Hana,HI,270,330.62, -   
426,MKT,Mankato Regional,Mankato,MN,138,168.98, -   
