Month_Year,ORIGIN_AIRPORT_ID_origin,DEST_AIRPORT_ID,flight_count,DEP_DELAY,ARR_DELAY,CANCELLED,estimated_demand,Average Fare ($)_origin,ORIGIN_AIRPORT_ID_dest,Average Fare ($)_dest,adjusted_demand
2018-01,ATL,EYW,65,8.507692307692308,6.569230769230769,0.0,65.0,360.85,EYW,431.86,41.83389731919015
2018-01,ATL,FAY,31,7.193548387096774,-6.586206896551724,0.03225806451612903,30.0,360.85,FAY,437.1,19.258448671648228
2018-01,ATL,FLL,662,9.377300613496933,2.8849693251533743,0.015105740181268883,652.0,360.85,FLL,245.35,461.88560684283755
2018-01,ATL,FNT,87,6.654761904761905,-2.0365853658536586,0.034482758620689655,84.0,360.85,FNT,347.3,56.401889773795126
2018-01,ATL,FSD,19,10.947368421052632,-5.473684210526316,0.0,19.0,360.85,FSD,428.67,12.24753576801912
2018-01,ATL,GNV,27,15.333333333333334,8.88888888888889,0.0,27.0,360.85,GNV,464.02,17.10726915704239
2018-01,ATL,GPT,99,5.010526315789473,-5.621052631578947,0.04040404040404041,95.0,360.85,GPT,455.0,60.455592606321815
2018-01,ATL,GRB,30,10.333333333333334,-3.5,0.0,30.0,360.85,GRB,544.1,18.30033917130353
2018-01,ATL,GRR,125,6.8,-2.4166666666666665,0.04,120.0,360.85,GRR,387.58,78.94667008856766
2018-01,ATL,GSO,208,5.911330049261084,-1.374384236453202,0.02403846153846154,203.0,360.85,GSO,434.84,130.45976644434958
2018-01,ATL,GSP,306,9.387959866220736,0.0,0.02287581699346405,299.0,360.85,GSP,419.69,193.59167904253707
2018-01,ATL,HDN,27,6.62962962962963,-1.4074074074074074,0.0,27.0,360.85,HDN,575.11,16.236207935525886
2018-01,ATL,HNL,31,12.516129032258064,-7.161290322580645,0.0,31.0,360.85,HNL,374.36,20.530656729868653
2018-01,ATL,HOU,328,11.095541401273886,-2.1246006389776357,0.042682926829268296,314.0,360.85,HOU,338.79,211.75790060212353
2018-01,ATL,HSV,192,8.127659574468085,0.425531914893617,0.020833333333333332,188.0,360.85,HSV,599.3,111.81240797032332
2018-01,ATL,IAD,308,3.65,-6.23,0.025974025974025976,300.0,360.85,IAD,427.37,193.50573973058803
2018-01,ATL,IAH,253,9.079166666666667,0.3739495798319328,0.05138339920948617,240.0,360.85,IAH,413.66,155.85510925622728
2018-01,ATL,ICT,84,11.142857142857142,-1.8452380952380953,0.0,84.0,360.85,ICT,396.24,55.02372697627278
2018-01,ATL,ILM,24,2.9130434782608696,-7.391304347826087,0.041666666666666664,23.0,360.85,ILM,440.64,14.739280591605887
2018-01,ATL,IND,315,8.4983922829582,0.4533762057877814,0.012698412698412698,311.0,360.85,IND,346.15,208.94425681079838
2018-01,ATL,JAC,11,-0.09090909090909091,-12.0,0.0,11.0,360.85,JAC,612.68,6.502773347504152
2018-01,ATL,JAN,164,6.35625,-0.30625,0.024390243902439025,160.0,360.85,JAN,547.21,97.46087977907834
2018-01,ATL,JAX,419,8.171990171990172,2.2586206896551726,0.028639618138424822,407.0,360.85,JAX,360.52,271.4440536469682
2018-01,ATL,JFK,201,19.08205128205128,9.580310880829016,0.029850746268656716,195.0,360.85,JFK,390.2,128.12001606151034
2018-01,ATL,LAS,372,11.907859078590786,-5.799457994579946,0.008064516129032258,369.0,360.85,LAS,240.35,262.11223065185555
2018-01,ATL,LAX,527,15.163147792706335,0.4277456647398844,0.011385199240986717,521.0,360.85,LAX,352.79,348.8458569840845
2018-01,ATL,LEX,134,5.541984732824427,-2.267175572519084,0.022388059701492536,131.0,360.85,LEX,428.21,84.46262537179003
2018-01,ATL,LFT,30,9.0,-2.5517241379310347,0.03333333333333333,29.0,360.85,LFT,544.16,17.689834367947437
